,F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
1,110001,110004,0.00144,0.04775,0.0,245.7,245.7,245.7,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2,110001,110041,0.01608,0.0881,0.05448,227.9,227.9,227.9,0,0,1,0,0,35.37,-1.24,-35.18,-3.56,0,0,0,0
3,110001,110113,0.00148,0.00896,0.01119,307.2,307.2,307.2,0,0,1,0,0,-110.27,28.52,110.45,-28.64,0,0,0,0
4,110001,230292,0.01094,0.05109,0.07783,257.2,257.2,257.2,0,0,1,0,0,32.22,-16.15,-32.1,8.32,0,0,0,0
5,110001,270046,0.00616,0.04105,0.01329,271.4,271.4,271.4,0,0,1,0,0,42.46,-11.21,-42.35,10.51,0,0,0,0
6,110002,110004,0.0,0.01,0.0,10.4,10.4,10.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7,110003,110004,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8,110005,110008,0.00117,0.03691,0.0,243.9,243.9,243.9,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9,110005,110065,0.00245,0.013,0.01183,307.4,307.4,307.4,0,0,1,0,0,96.51,-27.87,-96.27,27.89,0,0,0,0
10,110005,111259,0.00259,0.01847,0.02085,300.8,300.8,300.8,0,0,1,0,0,104.86,-18.87,-104.58,18.7,0,0,0,0
11,110005,111363,0.00279,0.01921,0.00978,302.2,302.2,302.2,0,0,1,0,0,-164.51,-17.59,165.24,21.6,0,0,0,0
12,110005,111411,0.0041,0.01508,0.02064,293.0,293.0,293.0,0,0,1,0,0,-116.56,25.68,117.12,-25.77,0,0,0,0
13,110006,110008,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
14,110007,110008,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
15,110009,110012,0.00199,0.0599,0.0,243.4,243.4,243.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
16,110101,110009,0.00362,0.02731,0.03339,290.2,290.2,290.2,0,0,1,0,0,130.97,2.43,-130.39,-1.59,0,0,0,0
17,110009,110105,0.00457,0.02293,0.02714,231.6,231.6,231.6,0,0,1,0,0,-17.5,4.91,17.52,-7.7,0,0,0,0
18,110009,110121,0.00667,0.03531,0.01496,295.6,295.6,295.6,0,0,1,0,0,142.0,-5.35,-140.72,10.51,0,0,0,0
19,110010,110012,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
20,110011,110012,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
21,110013,110016,0.00117,0.03378,0.0,274.7,274.7,274.7,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
22,110123,110013,0.00296,0.01839,0.01142,278.3,278.3,278.3,0,0,1,0,0,-74.41,-17.71,74.58,17.61,0,0,0,0
23,110132,110013,0.00407,0.02626,0.00541,289.9,289.9,289.9,0,0,1,0,0,90.22,22.78,-89.88,-21.15,0,0,0,0
24,110014,110016,0.0,0.01,0.0,36.5,36.5,36.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
