bus_name,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
EDNA 1 1,110001,1,0.22,0.08,0,0.0,7,1.0370926,-4.242394,138.0,1,1.1,0.9,27.46,0.01,0,0
EDNA 1 2,110002,1,0.0,0.0,0,0.0,7,1.0370926,-4.242394,13.8,1,1.1,0.9,27.46,0.01,0,0
EDNA 1 3,110003,1,0.0,0.0,0,0.0,7,1.0370926,-4.242394,13.8,1,1.1,0.9,27.46,0.01,0,0
EDNA 1 4,110004,1,0.0,0.0,0,0.0,7,1.0370926,-4.242394,1.0,1,1.1,0.9,27.46,0.01,0,0
LANE CITY 1 1,110005,1,79.7,38.66,0,0.0,7,1.0218551,-11.384533,138.0,1,1.1,0.9,27.46,0.01,0,0
LANE CITY 1 2,110006,1,0.0,0.0,0,0.0,7,1.0218551,-11.384533,13.8,1,1.1,0.9,27.46,0.01,0,0
LANE CITY 1 3,110007,1,0.0,0.0,0,0.0,7,1.0218551,-11.384533,13.8,1,1.1,0.9,27.46,0.01,0,0
LANE CITY 1 4,110008,1,0.0,0.0,0,0.0,7,1.0218551,-11.384533,1.0,1,1.1,0.9,27.46,0.01,0,0
MATAGORDA 1 1,110009,1,5.9,2.03,0,0.0,7,1.028601,-3.558826,138.0,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 1 2,110010,1,0.0,0.0,0,0.0,7,1.028601,-3.558826,13.8,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 1 3,110011,1,0.0,0.0,0,0.0,7,1.028601,-3.558826,13.8,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 1 4,110012,1,0.0,0.0,0,0.0,7,1.028601,-3.558826,1.0,1,1.1,0.9,27.51,0.01,0,0
HUNGERFORD 1 1,110013,1,15.3,3.54,0,0.0,7,1.011557,-12.681401,138.0,1,1.1,0.9,27.44,0.01,0,0
HUNGERFORD 1 2,110014,1,0.0,0.0,0,0.0,7,1.011557,-12.681401,13.8,1,1.1,0.9,27.44,0.01,0,0
HUNGERFORD 1 3,110015,1,0.0,0.0,0,0.0,7,1.011557,-12.681401,13.8,1,1.1,0.9,27.44,0.01,0,0
HUNGERFORD 1 4,110016,1,0.0,0.0,0,0.0,7,1.011557,-12.681401,1.0,1,1.1,0.9,27.44,0.01,0,0
EAST BERNARD 1 1,110017,1,11.0,2.71,0,0.0,7,1.0264433,-16.738404,138.0,1,1.1,0.9,27.44,0.01,0,0
EAST BERNARD 1 2,110018,1,0.0,0.0,0,0.0,7,1.0264433,-16.738404,13.8,1,1.1,0.9,27.44,0.01,0,0
EAST BERNARD 1 3,110019,1,0.0,0.0,0,0.0,7,1.0264433,-16.738404,13.8,1,1.1,0.9,27.44,0.01,0,0
EAST BERNARD 1 4,110020,1,0.0,0.0,0,0.0,7,1.0264433,-16.738404,1.0,1,1.1,0.9,27.44,0.01,0,0
EL CAMPO 1 1,110021,1,8.3,1.88,0,0.0,7,1.0251749,-6.828781,138.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 1 2,110022,1,0.0,0.0,0,0.0,7,1.0251749,-6.828781,22.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 1 3,110023,1,0.0,0.0,0,0.0,7,1.0251749,-6.828781,22.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 1 4,110024,1,0.0,0.0,0,0.0,7,1.0251749,-6.828781,1.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 2 1,110025,1,7.3,2.11,0,0.0,7,1.0260746,-6.831657,138.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 2 2,110026,1,0.0,0.0,0,0.0,7,1.0260746,-6.831657,13.8,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 2 3,110027,1,0.0,0.0,0,0.0,7,1.0260746,-6.831657,13.8,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 2 4,110028,1,0.0,0.0,0,0.0,7,1.0260746,-6.831657,1.0,1,1.1,0.9,27.46,0.01,0,0
WHARTON 1 1,110029,1,7.7,2.03,0,0.0,7,1.0279168,-8.722837,138.0,1,1.1,0.9,27.44,0.0,0,0
WHARTON 1 2,110030,1,0.0,0.0,0,0.0,7,1.0279168,-8.722837,13.8,1,1.1,0.9,27.44,0.0,0,0
WHARTON 1 3,110031,1,0.0,0.0,0,0.0,7,1.0279168,-8.722837,13.8,1,1.1,0.9,27.44,0.0,0,0
WHARTON 1 4,110032,1,0.0,0.0,0,0.0,7,1.0279168,-8.722837,1.0,1,1.1,0.9,27.44,0.0,0,0
CEDAR LANE 1 1,110033,1,7.5,1.8,0,0.0,7,1.0164845,-10.439684,138.0,1,1.1,0.9,27.62,0.01,0,0
CEDAR LANE 1 2,110034,1,0.0,0.0,0,0.0,7,1.0164845,-10.439684,13.8,1,1.1,0.9,27.62,0.01,0,0
CEDAR LANE 1 3,110035,1,0.0,0.0,0,0.0,7,1.0164845,-10.439684,13.8,1,1.1,0.9,27.62,0.01,0,0
CEDAR LANE 1 4,110036,1,0.0,0.0,0,0.0,7,1.0164845,-10.439684,1.0,1,1.1,0.9,27.62,0.01,0,0
NADA 1 1,110037,1,4.25,0.68,0,0.0,7,1.032465,-7.927104,138.0,1,1.1,0.9,27.45,0.02,0,0
NADA 1 2,110038,1,0.0,0.0,0,0.0,7,1.032465,-7.927104,13.8,1,1.1,0.9,27.45,0.02,0,0
NADA 1 3,110039,1,0.0,0.0,0,0.0,7,1.032465,-7.927104,13.8,1,1.1,0.9,27.45,0.02,0,0
NADA 1 4,110040,1,0.0,0.0,0,0.0,7,1.032465,-7.927104,1.0,1,1.1,0.9,27.45,0.02,0,0
EGYPT 1 1,110041,1,2.56,0.53,0,0.0,7,1.0306011,-5.898392,138.0,1,1.1,0.9,27.46,0.01,0,0
EGYPT 1 2,110042,1,0.0,0.0,0,0.0,7,1.0306011,-5.898392,24.0,1,1.1,0.9,27.46,0.01,0,0
EGYPT 1 3,110043,1,0.0,0.0,0,0.0,7,1.0306011,-5.898392,24.0,1,1.1,0.9,27.46,0.01,0,0
EGYPT 1 4,110044,1,0.0,0.0,0,0.0,7,1.0306011,-5.898392,1.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 1 1,110045,1,1.73,0.53,0,0.0,7,1.0287298,-8.189099,138.0,1,1.1,0.9,27.45,0.02,0,0
LOUISE 1 2,110046,1,0.0,0.0,0,0.0,7,1.0287298,-8.189099,13.8,1,1.1,0.9,27.45,0.02,0,0
LOUISE 1 3,110047,1,0.0,0.0,0,0.0,7,1.0287298,-8.189099,13.8,1,1.1,0.9,27.45,0.02,0,0
LOUISE 1 4,110048,1,0.0,0.0,0,0.0,7,1.0287298,-8.189099,1.0,1,1.1,0.9,27.45,0.02,0,0
GANADO 1 1,110049,1,3.09,0.3,0,0.0,7,1.0246793,-5.885151,138.0,1,1.1,0.9,27.46,0.01,0,0
GANADO 1 2,110050,1,0.0,0.0,0,0.0,7,1.0246793,-5.885151,18.0,1,1.1,0.9,27.46,0.01,0,0
GANADO 1 3,110051,1,0.0,0.0,0,0.0,7,1.0246793,-5.885151,18.0,1,1.1,0.9,27.46,0.01,0,0
GANADO 1 4,110052,1,0.0,0.0,0,0.0,7,1.0246793,-5.885151,1.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 2 1,110053,1,4.25,0.68,0,0.0,7,1.0261359,-6.415464,138.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 2 2,110054,1,0.0,0.0,0,0.0,7,1.0261359,-6.415464,13.8,1,1.1,0.9,27.46,0.01,0,0
