,bus_name
0,EDNA 1 1
1,EDNA 1 2
2,EDNA 1 3
3,EDNA 1 4
4,LANE CITY 1 1
5,LANE CITY 1 2
6,LANE CITY 1 3
7,LANE CITY 1 4
8,MATAGORDA 1 1
9,MATAGORDA 1 2
10,MATAGORDA 1 3
11,MATAGORDA 1 4
12,HUNGERFORD 1 1
13,HUNGERFORD 1 2
14,HUNGERFORD 1 3
15,HUNGERFORD 1 4
16,EAST BERNARD 1 1
17,EAST BERNARD 1 2
18,EAST BERNARD 1 3
19,EAST BERNARD 1 4
20,EL CAMPO 1 1
21,EL CAMPO 1 2
22,EL CAMPO 1 3
23,EL CAMPO 1 4
24,EL CAMPO 2 1
25,EL CAMPO 2 2
26,EL CAMPO 2 3
27,EL CAMPO 2 4
28,WHARTON 1 1
29,WHARTON 1 2
30,WHARTON 1 3
31,WHARTON 1 4
32,CEDAR LANE 1 1
33,CEDAR LANE 1 2
34,CEDAR LANE 1 3
35,CEDAR LANE 1 4
36,NADA 1 1
37,NADA 1 2
38,NADA 1 3
39,NADA 1 4
40,EGYPT 1 1
41,EGYPT 1 2
42,EGYPT 1 3
43,EGYPT 1 4
44,LOUISE 1 1
45,LOUISE 1 2
46,LOUISE 1 3
47,LOUISE 1 4
48,GANADO 1 1
49,GANADO 1 2
50,GANADO 1 3
51,GANADO 1 4
52,LOUISE 2 1
53,LOUISE 2 2
54,LOUISE 2 3
55,LOUISE 2 4
56,LOUISE 3 1
57,LOUISE 3 2
58,LOUISE 3 3
59,LOUISE 3 4
60,NADA 2 1
61,NADA 2 2
62,NADA 2 3
63,NADA 2 4
64,KENDLETON 1 1
65,KENDLETON 1 2
66,KENDLETON 1 3
67,KENDLETON 1 4
68,PLEDGER 1 1
69,PLEDGER 1 2
70,PLEDGER 1 3
71,PLEDGER 1 4
72,DANEVANG 1 1
73,DANEVANG 1 2
74,DANEVANG 1 3
75,DANEVANG 1 4
76,DANEVANG 2 1
77,DANEVANG 2 2
78,DANEVANG 2 3
79,DANEVANG 2 4
80,ELMATON 1 1
81,ELMATON 1 2
82,ELMATON 1 3
83,ELMATON 1 4
84,BAY CITY 1 1
85,BAY CITY 1 2
86,BAY CITY 1 3
87,BAY CITY 1 4
88,PALACIOS 1 1
89,PALACIOS 1 2
90,PALACIOS 1 3
91,PALACIOS 1 4
92,MIDFIELD 1 1
93,MIDFIELD 1 2
94,MIDFIELD 1 3
95,MIDFIELD 1 4
96,ELMATON 2 1
97,ELMATON 2 2
98,ELMATON 2 3
99,ELMATON 2 4
100,PALACIOS 2 1
101,PALACIOS 2 2
102,PALACIOS 2 3
103,PALACIOS 2 4
104,MATAGORDA 2 1
105,MATAGORDA 2 2
106,MATAGORDA 2 3
107,MATAGORDA 2 4
108,SWEENY 1 1
109,SWEENY 1 2
110,SWEENY 1 3
111,SWEENY 1 4
112,EDNA 2 1
113,EDNA 2 2
114,EDNA 2 3
115,EDNA 2 4
116,MARKHAM 1 1
117,ALTAIR 1 1
118,CEDAR LANE 2 1
119,BAY CITY 2 1
120,WADSWORTH 1 1
121,LA WARD 1 1
122,HUNGERFORD 2 1
123,GARWOOD 1 1
124,LANE CITY 2 1
125,BAY CITY 3 1
126,BAY CITY 3 2
127,EL CAMPO 3 1
128,BROOKSHIRE 1 1
129,EAGLE LAKE 1 1
130,SEALY 1 1
131,WHARTON 2 1
132,GANADO 2 1
133,EL CAMPO 4 1
134,MARKHAM 2 1
135,PALACIOS 3 1
136,PATTISON 1 1
137,BAY CITY 4 1
138,EDNA 3 1
139,BROOKSHIRE 2 1
140,SAN FELIPE 1 1
141,BROOKSHIRE 3 1
142,SEALY 2 1
143,SAN FELIPE 2 1
144,PRAIRIE VIEW 1 1
145,LISSIE 1 1
146,BROOKSHIRE 4 1
147,BROOKSHIRE 5 1
148,BROOKSHIRE 6 1
149,HOCKLEY 1 1
150,EAGLE LAKE 2 1
151,BROOKSHIRE 7 1
152,HOCKLEY 2 1
153,WALLER 1 1
154,WALLER 2 1
155,PATTISON 2 1
156,WALLIS 1 1
157,KATY 1 1
158,SEALY 3 1
159,SEALY 4 1
160,SEALY 4 2
161,GALENA PARK 1 1
162,GALENA PARK 1 2
163,HUMBLE 1 1
164,HUMBLE 2 1
165,HUMBLE 2 2
166,HUMBLE 3 1
167,HOUSTON 1 1
168,HUMBLE 4 1
169,HUMBLE 4 2
170,HUMBLE 5 1
171,HUMBLE 6 1
172,HUMBLE 6 2
173,HOUSTON 2 1
174,HOUSTON 2 2
175,HUMBLE 7 1
176,HUMBLE 7 2
177,HUMBLE 8 1
178,HOUSTON 3 1
179,KATY 2 1
180,CYPRESS 1 1
181,KATY 3 1
182,KATY 4 1
183,KATY 5 1
184,KATY 6 1
185,KATY 7 1
186,KATY 8 1
187,KATY 9 1
188,KATY 9 2
189,KATY 9 3
190,KATY 9 4
191,CYPRESS 2 1
192,KATY 10 1
193,CYPRESS 3 1
194,KATY 11 1
195,KATY 12 1
196,KATY 13 1
197,CYPRESS 4 1
198,KATY 14 1
199,CYPRESS 5 1
200,KATY 15 1
201,KATY 16 1
202,KATY 17 1
203,CYPRESS 6 1
204,CYPRESS 7 1
205,KATY 18 1
206,CYPRESS 8 1
207,CYPRESS 9 1
208,KATY 19 1
209,KATY 20 1
210,CYPRESS 10 1
211,KATY 21 1
212,KATY 21 2
213,KATY 22 1
214,KATY 23 1
215,CYPRESS 11 1
216,CYPRESS 12 1
217,KATY 24 1
218,KATY 25 1
219,KATY 26 1
220,KATY 27 1
221,CYPRESS 13 1
222,KATY 28 1
223,KATY 29 1
224,KATY 30 1
225,KATY 31 1
226,KATY 32 1
227,KATY 33 1
228,KATY 34 1
229,KATY 35 1
230,CYPRESS 14 1
231,CYPRESS 15 1
232,CYPRESS 16 1
233,CYPRESS 17 1
234,CYPRESS 18 1
235,CYPRESS 19 1
236,CYPRESS 20 1
237,CYPRESS 21 1
238,KATY 36 1
239,KATY 37 1
240,KATY 38 1
241,KATY 39 1
242,KATY 40 1
243,KATY 41 1
244,KATY 42 1
245,KATY 43 1
246,KATY 44 1
247,KATY 45 1
248,KATY 46 1
249,KATY 47 1
250,KATY 48 1
251,KATY 49 1
252,KATY 50 1
253,KATY 51 1
254,KATY 52 1
255,KATY 53 1
256,KATY 54 1
257,KATY 55 1
258,KATY 56 1
259,KATY 57 1
260,CYPRESS 22 1
261,CYPRESS 23 1
262,CYPRESS 23 2
263,CYPRESS 24 1
264,KATY 58 1
265,KATY 59 1
266,KATY 60 1
267,KATY 61 1
268,CYPRESS 25 1
269,CYPRESS 26 1
270,KATY 62 1
271,KATY 63 1
272,KATY 64 1
273,KATY 64 2
274,CYPRESS 27 1
275,KATY 65 1
276,KATY 66 1
277,CYPRESS 28 1
278,KATY 67 1
279,CYPRESS 29 1
280,CYPRESS 30 1
281,KATY 68 1
282,KATY 69 1
283,KATY 70 1
284,KATY 71 1
285,CYPRESS 31 1
